KIC|P13|G|2MASS|GLAT|GLON|Teffc|e_Teffc|Teff|e_Teff|Dnu|e_Dnu|numax|e_numax|Notes|Teff1|e_Teff1|[M/H]1|e_[M/H]1|M1|E_M1|e_M1|R1|E_R1|e_R1|log.g1|E_log.g1|e_log.g1|rho1|E_rho1|e_rho1|Teff2|e_Teff2|[M/H]2|e_[M/H]2|M2|E_M2|e_M2|R2|E_R2|e_R2|log.g2|E_log.g2|e_log.g2|rho2|E_rho2|e_rho2|_RA|_DE
#  | | | |deg|deg|K|K|K|K|uHz|uHz|uHz|uHz| |K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|deg|deg
# --------|---|---|-----------------|------|------|-----|-----|-----|-----|-----|-----|------|-----|---------------------------------------------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----------|----------
 9851743|  1|  0|J19555453+4637075|80.969| 9.306| 4859|  101| 4651|   92| 4.65| 0.09| 43.72| 1.51|RC,PUBLIC                                    |4661| 83| 0.03| 0.05|    1.43|    0.17|    0.20|   10.63|    0.42|    0.55|    2.537|    0.015|    0.018|    0.00118|    0.00003|    0.00003|4696| 83| 0.06| 0.05|    1.49|    0.13|    0.24|   10.89|    0.22|    0.73|    2.540|    0.015|    0.018|    0.00118|    0.00004|    0.00003|298.977230|+46.618771
 9852625|  1|  0|J19570288+4636392|81.061| 9.133| 4545|   85| 4233|   74| 2.30| 0.05| 15.75| 0.78|KASC,PUBLIC,LUMINOUS_RGB                     |4378|112|-0.70| 0.08|    0.93|    0.19|    0.11|   14.69|    1.04|    0.60|    2.072|    0.025|    0.017|    0.00029|    0.00001|    0.00001|4488|112|-0.77| 0.08|    0.98|    0.20|    0.14|   14.97|    1.00|    0.77|    2.079|    0.025|    0.021|    0.00029|    0.00001|    0.00001|299.262020|+46.610909
10228836|  1|  0|J19551145+4716343|81.485| 9.740| 5062|  119| 4788|  106| 5.12| 0.10| 55.60| 2.65|KASC,PUBLIC                                  |4970| 87|-0.09| 0.06|    2.13|    0.50|    0.24|   11.40|    0.90|    0.46|    2.654|    0.026|    0.017|    0.00144|    0.00004|    0.00004|4923| 87|-0.12| 0.06|    2.09|    0.42|    0.26|   11.34|    0.78|    0.53|    2.651|    0.023|    0.018|    0.00144|    0.00004|    0.00004|298.797760|+47.276211
10162765|  1|  0|J19551458+4708328|81.372| 9.666| 4948|   99| 4774|   93| 7.76| 0.74| 83.24| 3.71|KASC,PUBLIC                                  |4940| 78| 0.15| 0.05|    2.28|    0.15|    0.59|    9.45|    0.49|    1.23|    2.836|    0.020|    0.018|    0.00270|    0.00032|    0.00021|4901| 78| 0.18| 0.05|    2.24|    0.14|    0.68|    9.38|    0.53|    1.46|    2.834|    0.019|    0.018|    0.00273|    0.00040|    0.00025|298.810760|+47.142471
10229796|  1|  0|J19561009+4712169|81.506| 9.560| 4954|  103| 4705|   93| 4.82| 0.12| 48.44| 2.08|PUBLIC                                       |4780| 85|-0.04| 0.06|    1.73|    0.22|    0.21|   11.07|    0.57|    0.55|    2.587|    0.017|    0.019|    0.00127|    0.00004|    0.00004|4783| 85|-0.04| 0.06|    1.74|    0.23|    0.21|   11.07|    0.59|    0.54|    2.587|    0.017|    0.018|    0.00127|    0.00004|    0.00004|299.042050|+47.204708
10163776|  1|  0|J19562329+4708338|81.470| 9.497| 5106|  114| 4840|  103| 6.34| 0.21| 74.30| 3.48|PUBLIC                                       |5004| 82| 0.05| 0.05|    2.30|    0.47|    0.21|   10.24|    0.72|    0.46|    2.790|    0.017|    0.019|    0.00217|    0.00010|    0.00009|4948| 82| 0.04| 0.05|    2.23|    0.43|    0.22|   10.12|    0.66|    0.48|    2.785|    0.017|    0.018|    0.00218|    0.00011|    0.00010|299.097050|+47.142738
10297313|  1|  0|J19575788+4722216|81.808| 9.381| 5109|  110| 4780|   97| 7.77| 0.23|100.24| 2.55|KASC,PUBLIC                                  |4894| 72| 0.29| 0.04|    2.37|    0.24|    0.27|    8.96|    0.35|    0.42|    2.907|    0.013|    0.013|    0.00330|    0.00013|    0.00012|4867| 72| 0.35| 0.04|    2.36|    0.23|    0.28|    8.96|    0.35|    0.44|    2.906|    0.013|    0.014|    0.00329|    0.00013|    0.00012|299.491180|+47.372681
10426854|  1|  0|J19564169+4733296|81.862| 9.659| 5025|   91| 4854|   86| 4.27| 0.10| 38.80| 1.13|KASC,PUBLIC                                  |4827| 97|-0.34| 0.07|    1.44|    0.19|    0.16|   11.28|    0.60|    0.54|    2.491|    0.014|    0.014|    0.00100|    0.00004|    0.00004|4818| 97|-0.41| 0.07|    1.44|    0.19|    0.16|   11.28|    0.58|    0.52|    2.491|    0.014|    0.014|    0.00100|    0.00004|    0.00004|299.173740|+47.558231
10362043|  1|  0|J19570418+4724077|81.757| 9.526| 4943|  100| 4714|   91| 4.50| 0.11| 39.07| 0.84|PUBLIC                                       |4773| 96|-0.31| 0.07|    1.17|    0.18|    0.15|   10.20|    0.61|    0.51|    2.491|    0.012|    0.011|    0.00111|    0.00005|    0.00004|4778| 96|-0.36| 0.07|    1.17|    0.18|    0.14|   10.19|    0.60|    0.49|    2.492|    0.012|    0.011|    0.00111|    0.00005|    0.00004|299.267460|+47.402161
10363172|  1|  0|J19582368+4728385|81.937| 9.370| 4877|   91| 4550|   79| 4.33| 0.20| 43.02| 1.76|PUBLIC                                       |4599| 79| 0.12| 0.05|    1.63|    0.30|    0.21|   11.62|    0.86|    0.69|    2.522|    0.017|    0.018|    0.00104|    0.00006|    0.00006|4650| 79| 0.18| 0.05|    1.72|    0.34|    0.24|   11.86|    0.95|    0.78|    2.527|    0.017|    0.018|    0.00103|    0.00007|    0.00007|299.598690|+47.477379
