KIC|P13|G|2MASS|GLAT|GLON|Teffc|e_Teffc|Teff|e_Teff|Dnu|e_Dnu|numax|e_numax|Notes|Teff1|e_Teff1|[M/H]1|e_[M/H]1|M1|E_M1|e_M1|R1|E_R1|e_R1|log.g1|E_log.g1|e_log.g1|rho1|E_rho1|e_rho1|Teff2|e_Teff2|[M/H]2|e_[M/H]2|M2|E_M2|e_M2|R2|E_R2|e_R2|log.g2|E_log.g2|e_log.g2|rho2|E_rho2|e_rho2|_RA|_DE
#  | | | |deg|deg|K|K|K|K|uHz|uHz|uHz|uHz| |K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|deg|deg
# --------|---|---|-----------------|------|------|-----|-----|-----|-----|-----|-----|------|-----|---------------------------------------------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----------|----------
10907196|  1|  0|J18583782+4822494|78.402|18.804| 4969|   79| 4808|   74| 4.67| 0.13| 44.12| 0.96|KASC,PUBLIC                                  |4721| 87|-0.08| 0.06|    1.47|    0.16|    0.19|   10.77|    0.42|    0.64|    2.543|    0.011|    0.011|    0.00119|    0.00005|    0.00005|4740| 87|-0.08| 0.06|    1.50|    0.13|    0.20|   10.88|    0.33|    0.72|    2.543|    0.011|    0.011|    0.00119|    0.00005|    0.00004|284.657590|+48.380390
10962775|  1|  0|J18582020+4824064|78.405|18.857| 5009|   81| 4819|   75| 4.11| 0.09| 35.12| 0.86|PUBLIC                                       |4716| 94|-0.25| 0.06|    1.21|    0.13|    0.12|   10.93|    0.47|    0.48|    2.444|    0.011|    0.012|    0.00093|    0.00003|    0.00003|4736| 94|-0.29| 0.06|    1.21|    0.13|    0.12|   10.94|    0.48|    0.45|    2.444|    0.011|    0.012|    0.00093|    0.00003|    0.00003|284.584170|+48.401779
11177749|  1|  0|J18571019+4848067|78.735|19.174| 4769|  105| 4612|   99| 4.11| 0.10| 34.18| 0.79|KASC                                         |4591| 83| 0.03| 0.05|    1.08|    0.12|    0.11|   10.51|    0.49|    0.45|    2.426|    0.011|    0.011|    0.00093|    0.00003|    0.00003|4644| 83| 0.06| 0.05|    1.08|    0.13|    0.11|   10.54|    0.50|    0.46|    2.427|    0.011|    0.010|    0.00093|    0.00003|    0.00003|284.292480|+48.801880
11231549|  1|  0|J18584464+4857075|78.977|18.981| 4728|   80| 4574|   75| 3.40| 0.08| 30.25| 0.69|KASC                                         |4451| 86|-0.06| 0.06|    1.51|    0.17|    0.15|   13.31|    0.58|    0.56|    2.368|    0.011|    0.011|    0.00064|    0.00002|    0.00002|4541| 86|-0.03| 0.06|    1.55|    0.17|    0.16|   13.46|    0.61|    0.58|    2.371|    0.011|    0.011|    0.00064|    0.00002|    0.00002|284.686040|+48.952110
11284798|  1|  0|J18582108+4901359|79.028|19.067| 4349|   70| 4201|   65| 1.46| 0.04|  9.50| 0.25|KASC,LUMINOUS_RGB                            |4126| 85|-0.04| 0.06|    1.22|    0.17|    0.14|   21.76|    1.14|    1.05|    1.848|    0.013|    0.013|    0.00012|    0.00001|    0.00001|4283| 85| 0.04| 0.06|    1.29|    0.16|    0.15|   22.26|    1.12|    1.07|    1.854|    0.012|    0.012|    0.00012|    0.00001|    0.00001|284.587830|+49.026661
11337883|  1|  0|J18583500+4906208|79.120|19.058| 5068|   87| 4937|   83|11.53| 0.21|149.21| 3.22|PUBLIC                                       |4806| 85|-0.03| 0.06|    1.53|    0.15|    0.14|    5.93|    0.23|    0.22|    3.076|    0.011|    0.011|    0.00734|    0.00019|    0.00020|4802| 85|-0.03| 0.06|    1.53|    0.15|    0.13|    5.92|    0.23|    0.22|    3.076|    0.011|    0.011|    0.00734|    0.00019|    0.00019|284.645870|+49.105782
11178396|  1|  0|J18590205+4853311|78.934|18.916| 5214|  109| 5017|  102| 3.85| 0.08| 28.30| 1.62|KASC,PUBLIC                                  |4835|111|-0.69| 0.08|    0.89|    0.15|    0.09|   10.31|    0.62|    0.40|    2.361|    0.021|    0.016|    0.00081|    0.00002|    0.00002|4824|111|-0.81| 0.08|    0.86|    0.17|    0.07|   10.19|    0.67|    0.36|    2.359|    0.021|    0.016|    0.00081|    0.00002|    0.00002|284.758540|+48.891979
11284760|  1|  0|J18581445+4901055|79.013|19.081| 4852|   97| 4694|   91| 4.10| 0.08| 34.53| 0.89|KASC,PUBLIC                                  |4609| 84|-0.01| 0.06|    1.12|    0.12|    0.11|   10.67|    0.44|    0.43|    2.431|    0.012|    0.012|    0.00092|    0.00003|    0.00003|4658| 84| 0.02| 0.06|    1.14|    0.12|    0.12|   10.72|    0.44|    0.45|    2.433|    0.012|    0.012|    0.00092|    0.00003|    0.00003|284.560240|+49.018211
11072470|  1|  0|J19010271+4837597|78.798|18.516| 4809|   83| 4599|   77| 3.93| 0.09| 32.66| 1.31|PUBLIC                                       |4473| 78| 0.15| 0.05|    1.07|    0.16|    0.12|   10.79|    0.61|    0.46|    2.400|    0.018|    0.014|    0.00085|    0.00003|    0.00003|4558| 78| 0.23| 0.05|    1.10|    0.17|    0.14|   10.90|    0.64|    0.51|    2.403|    0.018|    0.015|    0.00085|    0.00003|    0.00003|285.261320|+48.633270
11072334|  1|  0|J19004144+4836005|78.744|18.559| 5020|   89| 4851|   83| 6.68| 1.03| 79.25| 3.24|PUBLIC                                       |4689| 79| 0.11| 0.05|    1.43|    0.43|    0.35|    7.96|    1.05|    0.97|    2.792|    0.018|    0.019|    0.00284|    0.00041|    0.00038|4716| 79| 0.16| 0.05|    1.61|    0.50|    0.40|    8.41|    1.18|    1.07|    2.794|    0.018|    0.019|    0.00270|    0.00043|    0.00039|285.172700|+48.600140
11017831|  1|  0|J19005385+4831394|78.684|18.502| 5200|   96| 4988|   88|17.06| 1.42|225.96| 6.17|PUBLIC                                       |4842| 85|-0.03| 0.06|    1.04|    0.25|    0.15|    3.97|    0.42|    0.27|    3.257|    0.012|    0.012|    0.01648|    0.00119|    0.00145|4829| 85|-0.03| 0.06|    1.02|    0.24|    0.14|    3.94|    0.41|    0.25|    3.257|    0.013|    0.012|    0.01657|    0.00115|    0.00140|285.224400|+48.527630
11232325|  1|  0|J19005306+4856134|79.089|18.646| 4774|   76| 4607|   71| 5.92| 0.13| 60.45| 1.49|PUBLIC                                       |4514| 78| 0.14| 0.05|    1.32|    0.14|    0.14|    8.79|    0.36|    0.37|    2.670|    0.012|    0.012|    0.00194|    0.00006|    0.00006|4588| 78| 0.20| 0.05|    1.36|    0.15|    0.13|    8.89|    0.39|    0.36|    2.672|    0.012|    0.012|    0.00193|    0.00006|    0.00006|285.221100|+48.937080
11339000|  1|  0|J19013400+4908307|79.332|18.612| 4958|   98| 4737|   90| 4.28| 0.09| 38.26| 0.88|KASC,PUBLIC                                  |4684| 85|-0.03| 0.06|    1.32|    0.12|    0.12|   10.95|    0.41|    0.40|    2.479|    0.011|    0.011|    0.00101|    0.00003|    0.00003|4713| 85|-0.02| 0.06|    1.33|    0.13|    0.12|   10.96|    0.43|    0.40|    2.480|    0.011|    0.011|    0.00101|    0.00003|    0.00003|285.391720|+49.141869
11232225|  1|  0|J19003958+4858122|79.108|18.692| 4799|   71| 4623|   66| 3.81| 0.12| 33.06| 1.64|PUBLIC                                       |4505| 78| 0.15| 0.05|    1.24|    0.24|    0.21|   11.58|    0.82|    0.75|    2.404|    0.021|    0.021|    0.00080|    0.00004|    0.00004|4581| 78| 0.22| 0.05|    1.30|    0.29|    0.27|   11.75|    0.98|    0.94|    2.410|    0.022|    0.025|    0.00080|    0.00004|    0.00004|285.164920|+48.970070
11285650|  1|  0|J19005590+4905481|79.250|18.694| 4745|   74| 4591|   69| 8.43| 0.16| 93.87| 1.84|PUBLIC                                       |4538| 73| 0.27| 0.05|    1.22|    0.11|    0.10|    6.76|    0.24|    0.23|    2.863|    0.011|    0.010|    0.00394|    0.00010|    0.00010|4606| 73| 0.37| 0.05|    1.25|    0.12|    0.11|    6.84|    0.24|    0.24|    2.865|    0.009|    0.010|    0.00391|    0.00011|    0.00011|285.232910|+49.096710
11391750|  1|  0|J19012632+4914106|79.418|18.664| 5095|  107| 4867|   98| 7.95| 0.19| 85.77| 1.96|PUBLIC                                       |4726| 89|-0.14| 0.06|    1.25|    0.14|    0.13|    7.10|    0.32|    0.31|    2.832|    0.011|    0.012|    0.00349|    0.00012|    0.00012|4744| 89|-0.16| 0.06|    1.26|    0.13|    0.13|    7.12|    0.31|    0.31|    2.833|    0.011|    0.011|    0.00349|    0.00012|    0.00012|285.359680|+49.236290
11018481|  1|  0|J19022554+4832549|78.798|18.272| 4485|   72| 4299|   67| 1.50| 0.03|  9.61| 0.29|KASC,PUBLIC                                  |4257| 91|-0.18| 0.06|    1.19|    0.15|    0.13|   21.27|    0.99|    0.94|    1.859|    0.015|    0.015|    0.00012|    0.00000|    0.00000|4399| 91|-0.14| 0.06|    1.24|    0.15|    0.14|   21.59|    0.98|    0.95|    1.864|    0.014|    0.015|    0.00012|    0.00000|    0.00000|285.606410|+48.548592
11072852|  1|  0|J19015877+4838074|78.857|18.372| 4551|   76| 4376|   70| 1.45| 0.04|  9.53| 0.26|HALO,KASC,GO,LUMINOUS_RGB                    |4331| 84|-0.02| 0.06|    1.36|    0.18|    0.15|   22.76|    1.19|    1.09|    1.857|    0.013|    0.013|    0.00012|    0.00001|    0.00001|4453| 84| 0.04| 0.06|    1.41|    0.20|    0.18|   23.06|    1.29|    1.24|    1.861|    0.013|    0.013|    0.00012|    0.00001|    0.00001|285.494900|+48.635410
11126673|  1|  0|J19032139+4847102|79.089|18.212| 4802|  134| 4660|  126| 5.65| 0.11| 55.79| 2.70|PUBLIC                                       |4533| 89|-0.12| 0.06|    1.14|    0.22|    0.20|    8.65|    0.57|    0.54|    2.622|    0.023|    0.023|    0.00176|    0.00005|    0.00005|4602| 89|-0.11| 0.06|    1.22|    0.21|    0.20|    8.84|    0.53|    0.54|    2.630|    0.023|    0.023|    0.00176|    0.00005|    0.00005|285.839140|+48.786190
11179815|  1|  0|J19024750+4850053|79.103|18.316| 5077|   99| 4875|   91| 4.17| 0.09| 36.21| 1.23|PUBLIC                                       |4687| 87|-0.08| 0.06|    1.24|    0.15|    0.15|   10.91|    0.50|    0.53|    2.455|    0.015|    0.016|    0.00095|    0.00003|    0.00003|4715| 87|-0.08| 0.06|    1.25|    0.16|    0.15|   10.93|    0.53|    0.52|    2.456|    0.015|    0.016|    0.00095|    0.00003|    0.00003|285.697940|+48.834808
11018710|  1|  0|J19025982+4834262|78.858|18.193| 4687|   99| 4519|   93| 5.39| 0.13| 53.34| 1.12|PUBLIC                                       |4478| 80| 0.10| 0.05|    1.31|    0.13|    0.13|    9.34|    0.39|    0.40|    2.615|    0.010|    0.010|    0.00161|    0.00005|    0.00005|4561| 80| 0.16| 0.05|    1.35|    0.14|    0.13|    9.45|    0.40|    0.39|    2.618|    0.010|    0.010|    0.00160|    0.00006|    0.00006|285.749270|+48.573952
11126721|  1|  0|J19032841+4845265|79.068|18.184| 4643|   85| 4457|   79| 3.63| 0.08| 30.74| 0.82|KASC,PUBLIC                                  |4376| 66| 0.45| 0.04|        |        |        |        |        |        |         |         |         |           |           |           |4486| 66| 0.61| 0.04|        |        |        |        |        |        |         |         |         |           |           |           |285.868410|+48.757381
11180468|  1|  0|J19041642+4850142|79.196|18.089| 4725|  111| 4556|  104| 5.03| 0.10| 50.71| 1.16|PUBLIC                                       |4554| 77| 0.16| 0.05|    1.52|    0.17|    0.13|   10.29|    0.44|    0.38|    2.595|    0.011|    0.011|    0.00139|    0.00004|    0.00004|4617| 77| 0.23| 0.05|    1.56|    0.23|    0.14|   10.40|    0.59|    0.41|    2.598|    0.012|    0.011|    0.00139|    0.00004|    0.00004|286.068420|+48.837292
11127105|  1|  0|J19042303+4843556|79.099|18.035| 4899|   95| 4736|   89|15.10| 0.28|190.02| 3.66|PUBLIC                                       |4647| 80| 0.10| 0.05|    1.01|    0.10|    0.07|    4.31|    0.16|    0.11|    3.175|    0.009|    0.009|    0.01263|    0.00031|    0.00033|4686| 80| 0.15| 0.05|    1.03|    0.10|    0.07|    4.34|    0.16|    0.12|    3.175|    0.010|    0.008|    0.01259|    0.00031|    0.00033|286.095950|+48.732121
11180378|  1|  0|J19040509+4850191|79.186|18.119| 4928|   97| 4705|   89| 4.32| 0.12| 33.08| 1.41|PUBLIC                                       |4555| 83| 0.02| 0.05|    0.94|    0.12|    0.11|    9.83|    0.55|    0.54|    2.429|    0.013|    0.012|    0.00100|    0.00005|    0.00005|4618| 83| 0.06| 0.05|    0.96|    0.14|    0.14|    9.86|    0.63|    0.62|    2.431|    0.013|    0.013|    0.00100|    0.00006|    0.00006|286.021240|+48.838638
11127586|  1|  0|J19053776+4843064|79.163|17.838| 5102|  102| 4883|   94| 7.49| 0.17| 78.10| 2.09|PUBLIC                                       |4778|100|-0.40| 0.07|    1.22|    0.15|    0.13|    7.34|    0.34|    0.33|    2.795|    0.013|    0.014|    0.00310|    0.00010|    0.00010|4782|100|-0.47| 0.07|    1.22|    0.14|    0.13|    7.33|    0.35|    0.34|    2.795|    0.013|    0.014|    0.00311|    0.00010|    0.00011|286.407350|+48.718460
11340165|  1|  0|J19042456+4907335|79.488|18.171| 4997|   98| 4783|   90| 4.06| 0.09| 33.00| 0.89|KASC,PUBLIC                                  |4701| 93|-0.22| 0.06|    1.05|    0.12|    0.10|   10.51|    0.45|    0.41|    2.415|    0.013|    0.012|    0.00090|    0.00003|    0.00003|4725| 93|-0.26| 0.06|    1.06|    0.12|    0.10|   10.54|    0.44|    0.40|    2.417|    0.012|    0.012|    0.00090|    0.00003|    0.00003|286.102330|+49.125980
11180994|  1|  0|J19052821+4848200|79.239|17.894| 4860|   96| 4651|   88| 6.51| 0.13| 68.85| 2.01|PUBLIC                                       |4553| 82| 0.05| 0.05|    1.33|    0.16|    0.15|    8.28|    0.37|    0.36|    2.726|    0.014|    0.014|    0.00235|    0.00007|    0.00006|4617| 82| 0.10| 0.05|    1.38|    0.16|    0.15|    8.39|    0.36|    0.37|    2.730|    0.014|    0.015|    0.00234|    0.00007|    0.00007|286.367580|+48.805561
11340377|  1|  0|J19045132+4906064|79.492|18.094| 4758|  104| 4547|   95| 3.06| 0.06| 21.71| 1.20|PUBLIC                                       |4529| 96|-0.32| 0.07|    0.89|    0.14|    0.07|   12.06|    0.61|    0.36|    2.230|    0.018|    0.013|    0.00051|    0.00001|    0.00001|4599| 96|-0.35| 0.07|    0.91|    0.15|    0.08|   12.12|    0.69|    0.38|    2.233|    0.021|    0.014|    0.00051|    0.00001|    0.00001|286.213840|+49.101791
11287844|  1|  0|J19062780+4903417|79.551|17.834| 5007|  110| 4770|  100| 4.49| 0.14| 44.16| 1.13|PUBLIC                                       |4706| 89|-0.12| 0.06|    1.66|    0.23|    0.20|   11.43|    0.67|    0.58|    2.542|    0.012|    0.012|    0.00111|    0.00005|    0.00005|4729| 89|-0.13| 0.06|    1.68|    0.23|    0.20|   11.48|    0.67|    0.60|    2.543|    0.012|    0.012|    0.00111|    0.00005|    0.00005|286.615880|+49.061611
11287679|  1|  0|J19055802+4901113|79.480|17.894| 5051|  108| 4837|   99| 4.79| 0.15| 45.53| 0.96|PUBLIC                                       |4943| 91|-0.18| 0.06|    1.64|    0.12|    0.15|   11.04|    0.36|    0.44|    2.566|    0.009|    0.011|    0.00122|    0.00005|    0.00005|4903| 91|-0.23| 0.06|    1.61|    0.11|    0.24|   10.93|    0.34|    0.73|    2.564|    0.010|    0.011|    0.00123|    0.00006|    0.00004|286.491790|+49.019810
11234625|  1|  0|J19061871+4856160|79.421|17.812| 4955|  106| 4746|   97| 4.17| 0.08| 34.41| 0.73|PUBLIC                                       |4628| 89|-0.14| 0.06|    1.04|    0.11|    0.10|   10.30|    0.42|    0.40|    2.431|    0.010|    0.011|    0.00095|    0.00003|    0.00003|4672| 89|-0.14| 0.06|    1.06|    0.11|    0.10|   10.35|    0.41|    0.39|    2.432|    0.011|    0.010|    0.00095|    0.00003|    0.00003|286.577970|+48.937801
11340747|  1|  0|J19054749+4909516|79.611|17.973| 4749|   86| 4549|   79| 9.42| 0.20|112.27| 3.85|PUBLIC                                       |4459| 69| 0.37| 0.04|    1.15|    0.16|    0.14|    6.15|    0.31|    0.29|    2.922|    0.017|    0.016|    0.00496|    0.00015|    0.00015|4547| 69| 0.50| 0.04|    1.29|    0.16|    0.16|    6.40|    0.30|    0.30|    2.935|    0.015|    0.017|    0.00490|    0.00015|    0.00015|286.447880|+49.164341
11287896|  1|  0|J19063730+4901489|79.530|17.798| 4913|  106| 4702|   97| 4.05| 0.10| 33.95| 0.84|PUBLIC                                       |4668| 84|-0.01| 0.06|    1.14|    0.12|    0.12|   10.80|    0.50|    0.50|    2.426|    0.011|    0.012|    0.00090|    0.00003|    0.00003|4701| 84| 0.01| 0.06|    1.14|    0.13|    0.12|   10.81|    0.52|    0.50|    2.426|    0.012|    0.012|    0.00090|    0.00003|    0.00003|286.655430|+49.030270
11235672|  1|  0|J19090264+4854349|79.565|17.384| 5105|   92| 5005|   88| 5.93| 0.14| 73.61| 1.57|PUBLIC                                       |4958| 80| 0.09| 0.05|    2.75|    0.34|    0.29|   11.24|    0.53|    0.51|    2.775|    0.011|    0.011|    0.00193|    0.00007|    0.00007|4914| 80| 0.10| 0.05|    2.72|    0.27|    0.32|   11.17|    0.51|    0.50|    2.773|    0.011|    0.011|    0.00194|    0.00007|    0.00007|287.261050|+48.909698
11181828|  1|  0|J19074933+4849248|79.403|17.539| 5013|  104| 4770|   95| 4.13| 0.09| 33.49| 0.72|HALO,GO,PUBLIC                               |4589|121|-0.93| 0.09|    1.04|    0.11|    0.10|   10.32|    0.44|    0.41|    2.427|    0.010|    0.011|    0.00094|    0.00003|    0.00003|4643|121|-1.05| 0.09|    1.06|    0.11|    0.10|   10.39|    0.43|    0.41|    2.429|    0.011|    0.011|    0.00094|    0.00003|    0.00003|286.955570|+48.823559
11181891|  1|  0|J19075880+4850493|79.436|17.524| 4941|   97| 4703|   88| 4.11| 0.09| 33.87| 1.46|PUBLIC                                       |4870| 92|-0.19| 0.06|    1.10|    0.21|    0.17|   10.56|    0.72|    0.59|    2.430|    0.022|    0.019|    0.00093|    0.00003|    0.00003|4850| 92|-0.24| 0.06|    1.12|    0.19|    0.16|   10.64|    0.65|    0.58|    2.432|    0.020|    0.019|    0.00093|    0.00003|    0.00003|286.995000|+48.847031
11129442|  1|  0|J19103825+4845497|79.524|17.086| 4721|   92| 4530|   85| 4.28| 0.10| 37.46| 1.19|PUBLIC                                       |4385| 87|-0.09| 0.06|    1.08|    0.16|    0.13|   10.20|    0.56|    0.49|    2.454|    0.016|    0.015|    0.00102|    0.00003|    0.00003|4493| 87|-0.06| 0.06|    1.14|    0.16|    0.15|   10.42|    0.54|    0.54|    2.460|    0.016|    0.015|    0.00101|    0.00003|    0.00003|287.659390|+48.763828
11128910|  1|  0|J19092163+4846563|79.461|17.289| 4934|  105| 4735|   97| 4.20| 0.12| 36.71| 0.80|KASC                                         |4772| 88|-0.10| 0.06|    1.28|    0.14|    0.13|   10.98|    0.54|    0.50|    2.464|    0.010|    0.010|    0.00097|    0.00004|    0.00004|4777| 88|-0.11| 0.06|    1.28|    0.15|    0.13|   10.99|    0.54|    0.51|    2.464|    0.010|    0.010|    0.00097|    0.00004|    0.00004|287.340150|+48.782330
11129153|  1|  0|J19095361+4846325|79.488|17.205| 4830|  100| 4636|   92| 3.72| 0.10| 27.16| 0.98|HALO,KASC,PUBLIC                             |4617| 97|-0.33| 0.07|    0.88|    0.08|    0.05|   10.55|    0.36|    0.25|    2.336|    0.012|    0.012|    0.00075|    0.00003|    0.00003|4664| 97|-0.37| 0.07|    0.88|    0.11|    0.05|   10.56|    0.44|    0.28|    2.337|    0.013|    0.012|    0.00075|    0.00003|    0.00003|287.473420|+48.775711
11182706|  1|  0|J19102221+4853112|79.626|17.173| 4873|  104| 4647|   95| 4.42| 0.10| 38.90| 1.04|PUBLIC                                       |4522| 99|-0.39| 0.07|    1.16|    0.14|    0.14|   10.23|    0.49|    0.47|    2.482|    0.013|    0.014|    0.00108|    0.00004|    0.00004|4594| 99|-0.43| 0.07|    1.18|    0.16|    0.14|   10.30|    0.49|    0.46|    2.485|    0.012|    0.014|    0.00108|    0.00004|    0.00004|287.592530|+48.886459
11342308|  1|  0|J19100488+4906440|79.828|17.301| 4897|  105| 4717|   98| 6.53| 0.13| 65.39| 1.60|PUBLIC                                       |4618| 87|-0.08| 0.06|    1.18|    0.13|    0.12|    7.93|    0.33|    0.32|    2.709|    0.013|    0.012|    0.00235|    0.00007|    0.00007|4664| 87|-0.07| 0.06|    1.20|    0.13|    0.12|    7.99|    0.34|    0.33|    2.711|    0.012|    0.013|    0.00235|    0.00007|    0.00007|287.520360|+49.112240
11289335|  1|  0|J19102806+4902583|79.791|17.219| 4729|   93| 4569|   87| 4.17| 0.09| 35.94| 0.82|KASC,PUBLIC                                  |4533| 77| 0.16| 0.05|    1.16|    0.13|    0.13|   10.66|    0.51|    0.51|    2.445|    0.011|    0.011|    0.00095|    0.00003|    0.00003|4602| 77| 0.24| 0.05|    1.18|    0.14|    0.15|   10.73|    0.55|    0.58|    2.447|    0.011|    0.011|    0.00095|    0.00004|    0.00004|287.616910|+49.049541
11342694|  1|  0|J19110062+4906529|79.889|17.160| 4612|   82| 4509|   79| 7.07| 0.15| 75.50| 1.62|KASC                                         |4553| 74| 0.24| 0.05|    1.29|    0.12|    0.12|    7.75|    0.30|    0.30|    2.767|    0.011|    0.010|    0.00276|    0.00008|    0.00008|4616| 74| 0.33| 0.05|    1.32|    0.13|    0.13|    7.85|    0.31|    0.32|    2.770|    0.011|    0.011|    0.00275|    0.00008|    0.00008|287.752590|+49.114719
11289128|  1|  0|J19095233+4901406|79.732|17.301| 5098|  107| 4931|  101| 4.08| 0.09| 29.13| 0.80|PUBLIC                                       |5122|112|-0.71| 0.08|    0.88|    0.06|    0.06|    9.94|    0.32|    0.32|    2.389|    0.009|    0.010|    0.00090|    0.00003|    0.00003|5035|112|-0.88| 0.08|    0.87|    0.07|    0.09|    9.89|    0.35|    0.40|    2.384|    0.013|    0.014|    0.00090|    0.00003|    0.00003|287.468080|+49.027950
11235816|  1|  0|J19092743+4858016|79.647|17.342| 4824|   97| 4607|   89| 4.15| 0.10| 33.93| 1.64|PUBLIC                                       |4573| 83| 0.03| 0.05|    1.01|    0.18|    0.11|   10.28|    0.62|    0.42|    2.425|    0.019|    0.015|    0.00094|    0.00003|    0.00003|4631| 83| 0.06| 0.05|    1.03|    0.19|    0.11|   10.32|    0.66|    0.42|    2.427|    0.020|    0.015|    0.00094|    0.00003|    0.00003|287.364320|+48.967110
11076453|  1|  0|J19110088+4839408|79.449|16.990| 4806|   92| 4607|   85| 5.07| 0.10| 50.92| 2.15|PUBLIC                                       |4565| 84|-0.01| 0.06|    1.42|    0.22|    0.19|   10.01|    0.53|    0.51|    2.590|    0.019|    0.019|    0.00142|    0.00004|    0.00004|4625| 84| 0.02| 0.06|    1.50|    0.23|    0.20|   10.20|    0.56|    0.52|    2.597|    0.019|    0.020|    0.00141|    0.00004|    0.00004|287.753660|+48.661339
11129480|  1|  0|J19104442+4843472|79.498|17.058| 4903|   93| 4710|   86| 4.67| 0.10| 42.59| 1.85|PUBLIC                                       |4624| 78| 0.15| 0.05|    1.27|    0.28|    0.27|   10.21|    0.86|    0.83|    2.524|    0.022|    0.027|    0.00119|    0.00004|    0.00004|4669| 78| 0.21| 0.05|    1.33|    0.31|    0.39|   10.36|    0.88|    1.17|    2.529|    0.023|    0.038|    0.00119|    0.00005|    0.00005|287.685090|+48.729790
11129945|  1|  0|J19115842+4845466|79.610|16.882| 5000|  110| 4772|  100| 4.91| 0.12| 51.03| 1.51|PUBLIC                                       |4681| 83| 0.01| 0.05|    1.78|    0.22|    0.20|   11.04|    0.51|    0.53|    2.603|    0.013|    0.014|    0.00133|    0.00005|    0.00005|4710| 83| 0.03| 0.05|    1.81|    0.20|    0.20|   11.08|    0.54|    0.51|    2.605|    0.013|    0.014|    0.00132|    0.00005|    0.00005|287.993410|+48.762959
11236571|  1|  0|J19112340+4859012|79.786|17.054| 4791|  102| 4618|   95|14.86| 0.29|191.54| 3.87|PUBLIC                                       |4582| 79| 0.12| 0.05|    1.06|    0.11|    0.09|    4.42|    0.18|    0.15|    3.175|    0.010|    0.010|    0.01234|    0.00034|    0.00034|4638| 79| 0.17| 0.05|    1.09|    0.11|    0.09|    4.47|    0.17|    0.16|    3.177|    0.010|    0.010|    0.01227|    0.00034|    0.00034|287.847500|+48.983669
11289990|  1|  0|J19120935+4902205|79.889|16.958| 4913|  103| 4696|   95| 4.14| 0.10| 36.40| 0.91|PUBLIC                                       |4556| 83| 0.02| 0.05|    1.24|    0.14|    0.13|   10.96|    0.48|    0.48|    2.451|    0.012|    0.012|    0.00094|    0.00003|    0.00003|4619| 83| 0.06| 0.05|    1.27|    0.13|    0.13|   11.04|    0.48|    0.49|    2.454|    0.011|    0.012|    0.00094|    0.00003|    0.00003|288.038970|+49.039051
11236536|  1|  0|J19111866+4854599|79.716|17.041| 4746|   88| 4607|   84| 4.53| 0.13| 43.12| 1.32|KASC                                         |4526| 83| 0.03| 0.05|    1.39|    0.18|    0.18|   10.70|    0.53|    0.56|    2.523|    0.013|    0.015|    0.00114|    0.00005|    0.00005|4597| 83| 0.07| 0.05|    1.46|    0.16|    0.19|   10.91|    0.47|    0.60|    2.526|    0.014|    0.015|    0.00113|    0.00005|    0.00004|287.827760|+48.916660
11289822|  1|  0|J19114558+4900317|79.834|17.007| 4779|  103| 4637|   98| 6.75| 0.13| 72.40| 1.70|PUBLIC                                       |4456| 70| 0.34| 0.04|    1.30|    0.12|    0.12|    8.02|    0.30|    0.30|    2.744|    0.011|    0.012|    0.00253|    0.00007|    0.00007|4545| 70| 0.46| 0.04|    1.36|    0.14|    0.12|    8.17|    0.31|    0.32|    2.748|    0.012|    0.011|    0.00250|    0.00007|    0.00007|287.939940|+49.008831
11289675|  1|  0|J19111959+4901348|79.823|17.079| 4875|  105| 4662|   96| 3.38| 0.13| 26.31| 0.66|PUBLIC                                       |4520|113|-0.74| 0.08|    1.05|    0.16|    0.15|   11.77|    0.76|    0.72|    2.316|    0.013|    0.013|    0.00064|    0.00003|    0.00003|4592|113|-0.83| 0.08|    1.07|    0.17|    0.14|   11.87|    0.77|    0.69|    2.318|    0.014|    0.013|    0.00064|    0.00003|    0.00003|287.831630|+49.026348
11236845|  1|  0|J19120082+4855562|79.776|16.939| 4844|  106| 4621|   97| 4.88| 0.12| 43.45| 0.95|PUBLIC                                       |4533|103|-0.47| 0.07|    1.10|    0.13|    0.11|    9.41|    0.45|    0.42|    2.534|    0.011|    0.011|    0.00133|    0.00005|    0.00005|4602|103|-0.52| 0.07|    1.12|    0.13|    0.12|    9.47|    0.47|    0.42|    2.535|    0.011|    0.011|    0.00132|    0.00005|    0.00005|288.003450|+48.932281
